Site,Comment,Age,Location,Position
Twitter,People say thoughtless things face to face and by email as well....,45 - 54,Finland,Professor
Twitter,"Highly useful, more so than e-mail lists nowadays.",35 - 44,Sweden,Research Director/VP of Research
Twitter,"It is HUGELY useful. I have found colleagues, collaborators, and it is now my most-used source for finding new papers. I do interdisciplinary research, and it is impossible to read ToCs for every single journal that I may find interesting. Also as a woman in science it lets me voice my concerns and discuss them without worry of departmental backlash.",35 - 44,United States,Associate professor
Twitter,It gives visibility to research topics,35 - 44,Colombia,Professor
Twitter,It has the potential to be very useful but I don't use it for such particular aim.,25 - 34,United Kingdom,Post-doctoral Fellow
Twitter,"It has its place, but there is a critical mass of the number of people you follow before it just becomes a meaningless stream that you can't keep up with. Careful pruning of who you follow is regularly required",35 - 44,United Kingdom,Principal Investigator
Twitter,It is very useful for following specific fields of interest,55 - 64,United States,Laboratory Director/Head
Twitter,Interesting to follow tweets from conferences I'm not able to attend,35 - 44,United Kingdom,Research Director/VP of Research
Twitter,It is very useful - one of the main ways I learn about things,45 - 54,United States,Professor
Twitter,"I have used Twitter mainly outside of my immediate research area, and more for communication/impact/engagement type activities and information. For this it has been immensely useful, with me finding many people who are talking about the things that I am interested in and making the web more available to me.",25 - 34,United Kingdom,Post-doctoral Fellow
Twitter,"Although I don't have many followers, occasionally a tweet will be RTed and been seen by many people.",45 - 54,United States,Senior Scientist
Twitter,Sometimes a distraction be generally useful for keeping up on published papers,45 - 54,United Kingdom,Professor
Twitter,"Extremely useful in conference settings. At the 2014 AAS meeting, for example, #aas223, #AASviz, and #hackAAS were useful to keep on top of the action.",35 - 44,United States,Research Scientist
Twitter,"It's been phenomenally valuable to me - it's allowed me to form a network of contacts, learn about interesting papers, have discussions about controversial scientific topics, and recruit employees.",35 - 44,United States,Principal Investigator
Twitter,Too much noise to be useful,35 - 44,Germany,Post-doctoral Fellow
Twitter,It is a very efficient way to find out about the latest research and science news,35 - 44,United States,Professor
Twitter,"I think its a good place to post about your new publications to try to achieve a wide net, but it depends on the day of the week / who is following you, etc whether you get a critical number of retweets.",25 - 34,United States,Post-doctoral Fellow
Twitter,Very useful for finding papers/research/discussion related to my research interests,25 - 34,Canada,PhD Student
Twitter,"Some of the peer reviewed journals that I regularly read and submit my own work to maintain twitter handles. It's nice to follow those and get updates and news about my field, though I do not necessarily actively participate in professional discussion on Twitter",25 - 34,United States,PhD Student
Twitter,"It's great to connect with people outside of your specific discipline, country, and professional level.",25 - 34,United States,Research Scientist
Twitter,"Almost all of my twitter use is done socially.  I do occasionally see tweets from my professional society, employer etc.  But I do not find these very useful and I do not actively tweet work related content.",45 - 54,United States,Senior Scientist
Twitter,140 characters to make my point and for someone else to make a point.  I can read more if I am interested.,55 - 64,United States,Medical Professional/Doctor
Twitter,"Very useful resource, recommend it to my students",35 - 44,Netherlands,Lecturer
Twitter,essential - its where I go if I prepare  a talk,55 - 64,United States,Associate professor
Twitter,"Unlike Facebook, I can follow individuals WITHOUT being mutual friends. Ex: I follow NatureNews, NatureNews doesn't need to follow me.",35 - 44,United States,Research Scientist
Twitter,Twitter is very good for conferences to disseminate work and this is the main way that I use it,55 - 64,United Kingdom,Professor and Head of Department
Twitter,I primarily use twitter as an outreach tool to highlight environmental issues and research,55 - 64,Australia,Head of Academic Department/Faculty
Twitter,Great way to keep up-to-date on what is happening NOW in the research community,45 - 54,United States,Head of Academic Department/Faculty
Twitter,"It's like mutation in evolution, it allows to pick up random directions.",45 - 54,Hungary,Professor
Twitter,It is mostly a distraction,35 - 44,Canada,Associate professor
Twitter,"I am a Ph.D. student, about to defend, and have just been offered a tenure-track research position at an excellent US school. Guess how I heard about this position opening - Twitter!",25 - 34,Canada,PhD Student
Twitter,"It's a bit of a time suck, but a good release, and I've definitely learned a lot about other fields, and it's great to get the perspective of grad students and postdocs.",45 - 54,United States,Professor
Twitter,"I should probably use it more than I do, although I'm not sure it would work as well as a personal academic blog, and am not sure what it would add to that.",35 - 44,United States,Associate professor
Twitter,"Most researchers - particularly junior researchers such as postdocs - use social networks for communication *outside* of their professional capacities.  We discuss research outside of our professional capacities, too - one of the most rewarding aspects of science is the way it links in with the broader culture's experience of the world at large, and the questions in this survey are utterly failing to reflect this distinction thus far.",25 - 34,United States,Post-doctoral Fellow
Twitter,Very useful for keeping up to date on high impact research from the journals/professionals that I follow.,25 - 34,United States,Post-doctoral Fellow
Twitter,I have identified several colleagues actively posting helpful material on their Twitter sites and regularly follow these sites but have never posted my own comments. One individual is a competitor whose work I am hoping to refute so I look for relevant comments on this person's site. It has proven useful. I am somewhat of an outsider in the fields of research discussed on these sites so the sites often provide useful references.,65 or over,United States,Professor
Twitter,Not seen as professional in my field,35 - 44,United States,Associate professor
Twitter,I believe it is a great tool to highlight what is new in research,45 - 54,Italy,Research Director/VP of Research
Twitter,"I use Twitter mostly as a source to satisfy my scientific curiosity, I follow posts about research in my field, but also other interesting science.  I do not find it useful to my own specific professional pursuits.",35 - 44,United States,Principal Investigator
Twitter,I think of twitter as a news source in my field! It keeps me up to date with many issues.,25 - 34,United States,Post-doctoral Fellow
Twitter,Not as useful as sites that are dedicated to professionals or researchers - too much competition from broader news etc tweets,55 - 64,Australia,Associate professor
Twitter,"I see Twitter as a global science communication tool in real time. You really get to know what people are thinking, as opposed to just reading their work.",35 - 44,France,Senior Scientist
Twitter,"It highlights events/blog posts/news that I would never have found using other tools. I wish there was a way to keep track of all interesting matters, because there are too much and updated too fast.",35 - 44,Iran,Associate professor
Twitter,"It is useful in tracking activities of my colleagues at other institutions.  However, my work discourages the use of social networks at the office.",45 - 54,United States,Research Scientist
Twitter,Requires more attention that I can bring at this time.,45 - 54,United States,President/CEO/Company Owner
Twitter,Very important for staying connected to debates on current issues,35 - 44,United Kingdom,Lecturer
Twitter,"Twitter is a great tool for researchers. It can take a bit of time to get going, but once you do, it's fantastic for meeting new people and keeping up to date with research developments.",25 - 34,United Kingdom,PhD Student
Twitter,Mainly use it for public engagement,55 - 64,United Kingdom,Professor
Twitter,"Create awareness of a specific research topic, for example ...",45 - 54,Portugal,PhD Student
Twitter,I'm sure other people make better use of it than I do.,45 - 54,China,Associate professor
Twitter,Haven't really tries to use Twitter for professional life.,35 - 44,United States,Associate professor
Twitter,"Very useful - when connected with blogging (by myself and others), it has created a space larger than my institution for me to be able to try out new ideas, some of which have ended up turning into papers.",25 - 34,United Kingdom,Lecturer
Twitter,"Currently not obvious as a way to reach other scientists, may be better for communication with the public.",45 - 54,North America (including Central America and the Caribbean),
Twitter,"Only somewhat useful to me directly.  I use it to push information, but don't find the time to really follow Twitter posts much myself.",45 - 54,United States,Senior Scientist
Twitter,"marginal, occasionally produces something before other web resources",65 or over,United Kingdom,Senior Researcher
Twitter,"It's a good way to stay aware of current issues and debates, and to find out new areas of research.",45 - 54,United Kingdom,Lecturer
Twitter,It can be very helpful to get information about my research topics and to share some opinions.,45 - 54,Argentina,Socio legal researcher
Twitter,"I think it's under valued - however I would suggest that, like most internet sources, the content needs to sometimes be viewed with some scepticism.",35 - 44,United Kingdom,Senior Lecturer
Twitter,I don't think it is very useful. The limited character limit makes in-depth discussions impossible.,45 - 54,Japan,Associate professor
Twitter,Useful for knowledge exchange / public engagement and to promote events. I tweet as a research group and to promote its profile not an individual.,55 - 64,United Kingdom,Professor
Twitter,"Yes, but too many distractions to keep it professional",35 - 44,United States,Business Consultant
Twitter,Good way to interact with journalists and the media,25 - 34,Australia,Lecturer
Twitter,Not a huge contribution but useful in locating grey literature and tapping into what a (fairly biased) sub-set of the academy is thinking about current issues.,55 - 64,United Kingdom,Professor
Twitter,"I think twitter is useful for daily news collecting including personal blogs, but it would be problem for discussing rationaly especially with anyone who will not reveal who he/she is.",45 - 54,Japan,Professor
Twitter,"minimal use really, perhaps some occasional bursts of political interest.",45 - 54,Sweden,Research Scientist
Twitter,It's a good way to find out about new research and policy that is relevant to my field.,25 - 34,United Kingdom,Lecturer
Twitter,"It keeps me up to date on the latest trends, especially as it ties in with current publications and current events.",35 - 44,United States,Associate professor
